Index,title,year,rating,age_restr
1, The Shawshank Redemption,1994,9.3,15
2, The Godfather,1972,9.2,15
3, The Dark Knight,2008,9.0,12A
4, The Godfather Part II,1974,9.0,X
5, 12 Angry Men,1957,9.0,U
6, Schindler's List,1993,9.0,15
7, The Lord of the Rings: The Return of the King,2003,9.0,12A
8, Pulp Fiction,1994,8.9,18
9, The Lord of the Rings: The Fellowship of the Ring,2001,8.9,PG
10," The Good, the Bad and the Ugly",1966,8.8,18
11, Forrest Gump,1994,8.8,12
12, The Lord of the Rings: The Two Towers,2002,8.8,12A
13, Fight Club,1999,8.8,15
14, Inception,2010,8.8,12A
15, Star Wars: Episode V - The Empire Strikes Back,1980,8.7,U
16, The Matrix,1999,8.7,15
17, GoodFellas,1990,8.7,18
18, One Flew Over the Cuckoo's Nest,1975,8.7,15
19, Seven,1995,8.6,18
20, Interstellar,2014,8.7,12A
21, It's a Wonderful Life,1946,8.6,U
22, Seven Samurai,1954,8.6,PG
23, The Silence of the Lambs,1991,8.6,18
24, Saving Private Ryan,1998,8.6,15
25, City of God,2002,8.6,18
26, Life Is Beautiful,1997,8.6,PG
27, The Green Mile,1999,8.6,18
28, Terminator 2: Judgment Day,1991,8.6,15
29, Star Wars: Episode IV - A New Hope,1977,8.6,U
30, Dune: Part Two,2024,8.6,12A
31, Back to the Future,1985,8.5,PG
32, Spirited Away,2001,8.6,PG
33, The Pianist,2002,8.5,15
34, Parasite,2019,8.5,15
35, Psycho,1960,8.5,15
36, Gladiator,2000,8.5,15
37, Spider-Man: Across the Spider-Verse,2023,8.6,PG
38, The Lion King,1994,8.5,U
39, The Departed,2006,8.5,18
40, Leon,1994,8.5,18
41, American History X,1998,8.5,18
42, Whiplash,2014,8.5,15
43, The Prestige,2006,8.5,12A
44, Grave of the Fireflies,1988,8.5,12A
45, Harakiri,1962,8.6,X
46, The Usual Suspects,1995,8.5,18
47, Casablanca,1942,8.5,U
48, Untouchable,2011,8.5,15
49, Cinema Paradiso,1988,8.5,PG
50, Modern Times,1936,8.5,U
51, Rear Window,1954,8.5,PG
52, Once Upon a Time in the West,1968,8.5,12
53, Alien,1979,8.5,X
54, City Lights,1931,8.5,U
55, Django Unchained,2012,8.5,18
56, Apocalypse Now,1979,8.4,X
57, Memento,2000,8.4,15
58, 12th Fail,2023,8.9,12A
59, WALL·E,2008,8.4,U
60, Raiders of the Lost Ark,1981,8.4,PG
61, The Lives of Others,2006,8.4,15
62, Sunset Blvd,1950,8.4,PG
63, Avengers: Infinity War,2018,8.4,12A
64, Paths of Glory,1957,8.4,PG
65, Spider-Man: Into the Spider-Verse,2018,8.4,PG
66, Witness for the Prosecution,1957,8.4,U
67, The Shining,1980,8.4,X
68, The Great Dictator,1940,8.4,PG
69, Aliens,1986,8.4,18
70, Inglourious Basterds,2009,8.4,18
71, The Dark Knight Rises,2012,8.4,12A
72, Dr,1964,8.3,PG
73, Coco,2017,8.4,PG
74, Oldboy,2003,8.3,18
75, American Beauty,1999,8.3,18
76, Amadeus,1984,8.4,PG
77, Toy Story,1995,8.3,PG
78, Avengers: Endgame,2019,8.4,12A
79, Das Boot,1981,8.4,AA
80, Braveheart,1995,8.3,15
81, Good Will Hunting,1997,8.3,15
82, Princess Mononoke,1997,8.3,PG
83, Joker,2019,8.4,15
84, Your Name,2016,8.4,12A
85, High and Low,1963,8.4,12
86, Once Upon a Time in America,1984,8.3,18
87, 3 Idiots,2009,8.4,12A
88, Singin' in the Rain,1952,8.3,U
89, Capernaum,2018,8.4,15
90, Come and See,1985,8.4,15
91, Requiem for a Dream,2000,8.3,18
92, Toy Story 3,2010,8.3,PG
93, Star Wars: Episode VI - Return of the Jedi,1983,8.3,PG
94, Eternal Sunshine of the Spotless Mind,2004,8.3,15
95, The Hunt,2012,8.3,15
96, 2001: A Space Odyssey,1968,8.3,U
97, Reservoir Dogs,1992,8.3,18
98, Oppenheimer,2023,8.3,15
99, Ikiru,1952,8.3,PG
100, Lawrence of Arabia,1962,8.3,PG
101, The Apartment,1960,8.3,PG
102, Incendies,2010,8.3,15
103, North by Northwest,1959,8.3,PG
104, Citizen Kane,1941,8.3,A
105, M,1931,8.3,PG
106, Scarface,1983,8.3,18
107, Double Indemnity,1944,8.3,A
108, Vertigo,1958,8.3,PG
109, Full Metal Jacket,1987,8.3,18
110, Amélie,2001,8.3,15
111, Heat,1995,8.3,15
112, Up,2009,8.3,U
113, A Clockwork Orange,1971,8.3,X
114, To Kill a Mockingbird,1962,8.3,PG
115, A Separation,2011,8.3,PG
116, The Sting,1973,8.3,PG
